sbu name, number of mofs built from it
connector_1091, 1
connector_1092, 1
connector_1093, 3
connector_1094, 20
connector_1095, 2
connector_1096, 2
connector_1097, 1
connector_1098, 2
connector_1099, 1
connector_1100, 1
connector_1101, 7
connector_1102, 1
connector_1103, 1
connector_1104, 1
connector_1105, 1
connector_1106, 1
connector_1107, 12
connector_1108, 1
connector_1109, 4
connector_1110, 4
connector_1111, 2
connector_1112, 1
connector_1113, 1
connector_1114, 1
connector_1115, 2
connector_1116, 1
connector_1117, 1
connector_1118, 2
connector_1119, 10
connector_1120, 2
connector_1121, 1
connector_1122, 13
connector_1123, 1
connector_1124, 1
connector_1125, 2
connector_1126, 2
connector_1127, 5
connector_1128, 1
connector_1129, 5
connector_1130, 4
connector_1131, 3
connector_1132, 3
connector_1133, 1
connector_1134, 2
connector_1135, 3
connector_1136, 2
connector_1137, 1
connector_1138, 1
connector_1139, 4
connector_1140, 6
connector_1141, 6
connector_1142, 1
connector_1143, 2
connector_1144, 12
connector_1145, 1
connector_1146, 1
connector_1147, 1
connector_1148, 1
connector_1149, 2
connector_1150, 1
connector_1151, 1
connector_1152, 2
connector_1153, 1
connector_1154, 1
connector_1155, 1
connector_1156, 1
connector_1157, 9
connector_1158, 2
connector_1159, 4
connector_1160, 1
connector_1161, 1
connector_1162, 1
connector_1163, 1
connector_1164, 1
connector_1165, 1
connector_1166, 1
connector_1167, 4
connector_1168, 2
connector_1169, 6
connector_1170, 2
connector_1171, 2
connector_1172, 1
connector_1173, 3
connector_1174, 1
connector_1175, 1
connector_1176, 1
connector_1177, 3
connector_1178, 1
connector_1179, 1
connector_1180, 1
connector_1181, 1
connector_1182, 2
connector_1183, 2
connector_1184, 29
connector_1185, 1
connector_1186, 1
connector_1187, 1
connector_1188, 1
connector_1189, 1
connector_1190, 1
connector_1191, 10
connector_1192, 1
connector_1193, 1
connector_1194, 1
connector_1195, 1
connector_1196, 1
connector_1197, 1
connector_1198, 1
connector_1199, 1
connector_1200, 2
connector_1201, 1
connector_1202, 1
connector_1203, 1
connector_1204, 1
connector_1205, 4
connector_1206, 3
connector_1207, 1
connector_1208, 1
connector_1209, 1
connector_1210, 1
connector_1211, 1
connector_1212, 1
connector_1213, 1
connector_1214, 1
connector_1215, 8
connector_1216, 1
connector_1217, 1
connector_1218, 1
connector_1219, 1
connector_1220, 2
connector_1221, 3
connector_1222, 1
connector_1223, 1
connector_1224, 1
connector_1225, 4
connector_1226, 1
connector_1227, 1
connector_1228, 8
connector_1229, 1
connector_1230, 1
connector_1231, 3
connector_1232, 1
connector_1233, 1
connector_1234, 4
connector_1235, 1
connector_1236, 1
connector_1237, 1
connector_1238, 1
connector_1239, 2
connector_1240, 1
connector_1241, 3
connector_1242, 3
connector_1243, 1
connector_1244, 2
connector_1245, 1
connector_1246, 1
connector_1247, 4
connector_1248, 1
connector_1249, 2
connector_1250, 1
connector_1251, 12
connector_1252, 1
connector_1253, 6
connector_1254, 2
connector_1255, 1
connector_1256, 2
connector_1257, 1
connector_1258, 1
connector_1259, 4
connector_1260, 1
connector_1261, 4
connector_1262, 2
connector_1263, 1
connector_1264, 2
connector_1265, 1
connector_1266, 1
connector_1267, 2
connector_1268, 3
connector_1269, 4
connector_1270, 1
connector_1271, 1
connector_1272, 1
connector_1273, 2
connector_1274, 1
connector_1275, 8
connector_1276, 1
connector_1277, 1
connector_1278, 1
connector_1279, 2
connector_1280, 3
connector_1281, 1
connector_1282, 1
connector_1283, 1
connector_1284, 2
connector_1285, 1
connector_1286, 1
connector_1287, 1
connector_1288, 1
connector_1289, 3
connector_1290, 1
connector_1291, 1
connector_1292, 1
connector_1293, 1
connector_1294, 2
connector_1295, 2
connector_1296, 3
connector_1297, 1
connector_1298, 1
connector_1299, 1
connector_1300, 2
connector_1301, 1
connector_1302, 1
connector_1303, 1
connector_1304, 1
connector_1305, 1
connector_1306, 6
connector_1307, 8
connector_1308, 1
connector_1309, 1
connector_1310, 1
connector_1311, 1
connector_1312, 1
connector_1313, 1
connector_1314, 1
connector_1315, 1
connector_1316, 3
connector_1317, 1
connector_1318, 1
connector_1319, 1
connector_1320, 1
connector_1321, 1
connector_1322, 1
connector_1323, 2
connector_1324, 1
connector_1325, 1
connector_1326, 1
connector_1327, 1
connector_1328, 13
connector_1329, 1
connector_1330, 5
connector_1331, 1
connector_1332, 1
connector_1333, 1
connector_1334, 2
connector_1335, 1
connector_1336, 1
connector_1337, 1
connector_1338, 2
connector_1339, 2
connector_1340, 1
connector_1341, 2
connector_1342, 2
connector_1343, 2
connector_1344, 1
connector_1345, 6
connector_1346, 1
connector_1347, 1
connector_1348, 5
connector_1349, 3
connector_1350, 1
connector_1351, 2
connector_1352, 1
connector_1353, 1
connector_1354, 1
connector_1355, 1
connector_1356, 1
