mof label, metal(s)
UMEXUF01_clean, Zn-O(H)-Zn
UMEXUF_clean, Zn-O(H)-Zn
UMIZEX_clean, Gd-O(H)-Gd
UNOJUD_clean, Sr-O(H)-Sr
UQULAU_clean, Co-O(H)-Co
UTACOJ_clean, Cu-O(H)-Cu, Cu-O(H)-Ba
UTOTUT01_clean, Cu-O(H)-Cu
UTULUR_SL_part, In-O(H)-In
VARWES_charged, Nd-O(H)-Nd
VARWIW_charged, Sm-O(H)-Sm
VARWOC_clean, Eu-O(H)-Eu
VARWUI_clean, Gd-O(H)-Gd
VASGUU_clean, In-O(H)-In
VASKOR_clean, Sc-O(H)-Sc
VAYFUY_clean, Co-O(H)-Co
VEDFAN_clean, Co-O(H)-Co
VEDFIV_clean, Co-O(H)-Co
VEDFOB_clean, Co-O(H)-Co
VEDFUH_clean, Co-O(H)-Co
VEDGAO_clean, Co-O(H)-Co
VEDGES_clean, Co-O(H)-Co
VEDGIW_clean, Co-O(H)-Co
VEFLUP_clean, Co-O(H)-Co
VEGXIQ01_clean, Mn-O(H)-Mn
VEGXIQ_clean, Mn-O(H)-Mn
VEGXOW_clean, Co-O(H)-Co
VEGXUC_clean, Ni-O(H)-Ni
VEHKIE_SL, Zn-O(H)-Zn
VEHYUE_clean, Mo-O(H)-Rb
VELVEO_clean, In-O(H)-In
VEQBID_clean, Ni-O(H)-Ni
VEXTUO_manual, Ni-O(H)-Ni
VIMRAM_clean, Cu-O(H)-Cu
VITKUG_charged, Cu-O(H)-Cu
VOCCOH_clean, Ni-O(H)-Ni
VOCKUT_clean, Co-O(H)-Co
VOCQAF_clean, Co-O(H)-Co
VOCQEJ_clean, Ni-O(H)-Ni
VOKJIQ_clean, Al-O(H)-Al
VOPCEK_clean, Ce-O(H)-Ce
VULFIT_clean, Co-O(H)-Co
VULFOZ_clean, Co-O(H)-Co
VUNCEM01_clean, Ga-O(H)-Ga
WAMRIN01_clean, Mg-O(H)-Mg
WAMRIN_clean, Mg-O(H)-Mg
WANRIM_clean, Al-O(H)-Al
WAQTEQ_clean, Zn-O(H)-Zn
WARWOC_clean, Sr-O(H)-Sr
WAYMEQ_SL, Al-O(H)-Al
WAYMIU_manual, Al-O(H)-Al
WAYMOA_manual, Al-O(H)-Al
WEDQED_clean, Co-O(H)-Co
WELTOX_clean, Cu-O(H)-Cu
WELTUD_charged, Cu-O(H)-Cu
WESYAV_clean, Cu-O(H)-Cu
WIHCUM_clean, Na-O(H)-Na
WIJDAV_clean, Zn-O(H)-Zn
WIJXIY_clean, Zn-O(H)-Zn
WITJOA_clean, Mn-O(H)-Mn
WIVVII_clean, Cu-O(H)-Cu
WIZMAV02_auto, Zr-O(H)-Zr
WODROY_clean, Cu-O(H)-Cu
WOHQAN_clean, Mn-O(H)-Mn
WOHSIV_clean, Cu-O(H)-Cu
WOHSOB_clean, Cu-O(H)-Cu
WOJJOV_SL, Al-O(H)-Al
WOVDES_clean, Ni-O(H)-Ni
WOWBER_clean, Cd-O(H)-Cd
WOWMEC_clean, Ni-O(H)-Ni
WUBHEI_clean, Sr-O(H)-Sr
WUXYOF_clean, Na-O(H)-Na
XADDOX_clean, Co-O(H)-Co
XAGCIS01_clean, Co-O(H)-Co
XAGCIS02_clean, Co-O(H)-Co
XAGCIS_clean, Co-O(H)-Co
XAGDAL_SL, Zn-O(H)-Zn
XAJQAC_SL, In-O(H)-In
XAJZOY_clean, Al-O(H)-Al
XALMII_clean, Co-O(H)-Co
XAPCOJ01_clean, V-O(H)-V
XAPCOJ02_clean, V-O(H)-V
XAPCOJ03_clean, V-O(H)-V
XAPCOJ04_clean, V-O(H)-V
XAPCOJ05_clean, V-O(H)-V
